n,wr,roi,pnl,min_edge,max_edge,min_fair,n_2023,wr_2023,roi_2023,n_2024,wr_2024,roi_2024,n_2025,wr_2025,roi_2025
1188,0.49663299663299665,-0.01762451964172212,-20.93792933436588,0.02,0.15,0.4,350,0.47714285714285715,-0.040552191427415896,411,0.49148418491484186,-0.02311766527970793,427,0.5175644028103045,0.0064559674360413245
311,0.5434083601286174,-0.018067465701701868,-5.618981833229281,0.02,0.07,0.5,64,0.53125,-0.059228626988515456,114,0.5526315789473685,0.014058161850188777,133,0.5413533834586466,-0.02579684328485576
250,0.536,-0.01957180117563379,-4.892950293908447,0.04,0.25,0.5,45,0.5111111111111111,-0.07740260698778814,72,0.5555555555555556,0.032370615621421565,133,0.5338345864661654,-0.02812419025714538
293,0.5392491467576792,-0.021293050960152576,-6.238863931324705,0.03,0.1,0.5,56,0.5,-0.11028320877839293,102,0.5392156862745098,-0.0015519172566819878,135,0.5555555555555556,0.000705861632939728
1355,0.4752767527675277,-0.022478034628129157,-30.457736921115007,0.03,0.25,0.35,421,0.46080760095011875,-0.025586458792430624,441,0.45351473922902497,-0.06680418219803826,493,0.5070993914807302,0.01982719387390092
1472,0.4796195652173913,-0.022668163843412466,-33.36753717750315,0.02,0.25,0.35,457,0.4638949671772429,-0.030816776804366657,488,0.4692622950819672,-0.04586344350401632,527,0.5028462998102466,0.0058768315978223705
540,0.5018518518518519,-0.022807955325515144,-12.316295875778177,0.05,0.25,0.45,136,0.47794117647058826,-0.06643560047842843,168,0.49404761904761907,-0.025415015187413615,236,0.5211864406779662,0.004189272630396513
149,0.5369127516778524,-0.023069094215720534,-3.4372950381423593,0.05,0.1,0.5,36,0.5,-0.09496187240228599,49,0.5510204081632653,0.03023025808945127,64,0.546875,-0.02343672309442463
1143,0.4873140857392826,-0.023943776833871395,-27.367736921115004,0.03,0.25,0.4,328,0.4634146341463415,-0.05595091204760149,373,0.47989276139410186,-0.03303121809473156,442,0.5113122171945701,0.007476937963423435
1260,0.49126984126984125,-0.02402979141071678,-30.27753717750314,0.02,0.25,0.4,364,0.46703296703296704,-0.05951446977910871,420,0.49523809523809526,-0.012479429595142767,476,0.5063025210084033,-0.007085944848629425
627,0.5039872408293461,-0.025042087836701758,-15.701389073612003,0.04,0.15,0.45,164,0.4451219512195122,-0.13460930449828884,214,0.5046728971962616,-0.01219180101304627,249,0.5421686746987951,0.03607864369839062
383,0.5378590078328982,-0.02547377800026193,-9.756456974100319,0.02,0.1,0.5,82,0.524390243902439,-0.06596760904498392,137,0.5547445255474452,0.022655583442777502,164,0.5304878048780488,-0.04543248758580579
314,0.5095541401273885,-0.026386706883395884,-8.285425961386307,0.04,0.07,0.45,88,0.4431818181818182,-0.14522892298519724,122,0.5245901639344263,0.017304947762362088,104,0.5480769230769231,0.022918419560604603
632,0.4936708860759494,-0.026479875873217897,-16.73528155187371,0.04,0.1,0.4,203,0.4482758620689655,-0.09766823976777275,215,0.4790697674418605,-0.057269435756598305,214,0.5514018691588785,0.07198270938622796
632,0.4936708860759494,-0.026479875873217897,-16.73528155187371,0.04,0.1,0.35,203,0.4482758620689655,-0.09766823976777275,215,0.4790697674418605,-0.057269435756598305,214,0.5514018691588785,0.07198270938622796
503,0.5049701789264414,-0.02708836902405687,-13.625449619100605,0.04,0.1,0.45,140,0.44285714285714284,-0.14322729100060538,179,0.5083798882681564,-0.013284517808204652,184,0.5489130434782609,0.04784945548180859
149,0.5302013422818792,-0.027970904212493732,-4.167664727661566,0.06,0.15,0.5,30,0.5,-0.09124588146604444,38,0.5526315789473685,0.03409424546243426,81,0.5308641975308642,-0.033652711250033766
651,0.49923195084485406,-0.03281259126996814,-21.36099691674926,0.04,0.25,0.45,166,0.4457831325301205,-0.13268630082963476,215,0.5069767441860465,-0.007297885659497223,270,0.5259259259259259,0.008273979399118541
150,0.5266666666666666,-0.03445109818441044,-5.167664727661566,0.06,0.25,0.5,31,0.4838709677419355,-0.12056053045101076,38,0.5526315789473685,0.03409424546243426,81,0.5308641975308642,-0.033652711250033766
339,0.5014749262536873,-0.03522249546131654,-11.940425961386307,0.04,0.07,0.35,102,0.47058823529411764,-0.07387397277154276,130,0.5,-0.029144587484552502,107,0.5327102803738317,-0.0057615361280104645
339,0.5014749262536873,-0.03522249546131654,-11.940425961386307,0.04,0.07,0.4,102,0.47058823529411764,-0.07387397277154276,130,0.5,-0.029144587484552502,107,0.5327102803738317,-0.0057615361280104645
336,0.5297619047619048,-0.03577861714687081,-12.021615361348593,0.03,0.15,0.5,58,0.5,-0.1109503267387804,104,0.5288461538461539,-0.020752841924822744,174,0.5402298850574713,-0.019702303737458425
426,0.5305164319248826,-0.03647701503315543,-15.539208404124214,0.02,0.15,0.5,84,0.5238095238095238,-0.06748337143985644,139,0.5467625899280576,0.007941114616262715,203,0.5221674876847291,-0.05406118293023048
882,0.5045351473922902,-0.036534124038087055,-32.22309740159278,0.02,0.15,0.45,238,0.4579831932773109,-0.1242371221295061,310,0.5096774193548387,-0.015988259451483744,334,0.5329341317365269,0.0068913116622444474
887,0.4971815107102593,-0.037493787914153864,-33.25698987985448,0.02,0.1,0.4,277,0.4584837545126354,-0.09862513285906484,311,0.4919614147909968,-0.04713904726957136,299,0.5384615384615384,0.0291719586051611
887,0.4971815107102593,-0.037493787914153864,-33.25698987985448,0.02,0.1,0.35,277,0.4584837545126354,-0.09862513285906484,311,0.4919614147909968,-0.04713904726957136,299,0.5384615384615384,0.0291719586051611
765,0.5006535947712418,-0.03831803548392763,-29.313297145204633,0.03,0.15,0.45,202,0.4504950495049505,-0.12998548128138704,263,0.49049429657794674,-0.04576290627123524,300,0.5433333333333333,0.029931381409901377
