game_id,game_date,home_team,away_team,total_line,pred_runs,actual_runs,edge_runs,side,decimal,our_prob,book_fair,stake,outcome,pnl,bankroll
776895,2025-08-03,BOS,HOU,8.0,9.95,7.0,1.95,over,1.837,0.5647,0.5257,1.132,loss,-1.132,125.901
776894,2025-08-03,WSH,MIL,8.5,10.85,17.0,2.35,over,1.909,0.547,0.5,1.227,win,1.115,127.016
776883,2025-08-03,SEA,TEX,7.5,11.68,9.0,4.18,over,2.0,0.5574,0.4737,1.528,win,1.528,128.544
776879,2025-08-04,PIT,SF,8.5,10.12,9.0,1.62,over,1.952,0.5194,0.4869,0.379,win,0.361,128.905
776862,2025-08-05,MIA,HOU,8.5,7.14,10.0,1.36,under,1.87,0.5403,0.5131,0.298,loss,-0.298,128.607
776869,2025-08-05,ATL,MIL,7.5,12.36,9.0,4.86,over,1.99,0.5725,0.4752,3.621,win,3.585,132.192
776866,2025-08-05,PIT,SF,7.5,5.81,9.0,1.69,under,1.833,0.5601,0.5263,0.854,loss,-0.854,131.338
776860,2025-08-05,CHC,CIN,7.0,10.17,6.0,3.17,over,1.833,0.5897,0.5263,0.228,loss,-0.228,131.111
776851,2025-08-06,PHI,BAL,8.5,10.18,6.0,1.68,over,1.976,0.5127,0.4792,0.346,loss,-0.346,130.764
776847,2025-08-06,CHC,CIN,7.5,9.16,7.0,1.66,over,2.0,0.5058,0.4726,0.304,loss,-0.304,130.46
776843,2025-08-06,LAA,TB,8.5,7.39,9.0,1.11,under,1.847,0.5432,0.521,0.108,loss,-0.108,130.353
776836,2025-08-06,COL,TOR,11.5,6.2,21.0,5.3,under,1.952,0.5869,0.4869,3.993,loss,-3.993,126.36
776840,2025-08-07,PIT,CIN,7.0,8.35,7.0,1.35,over,1.847,0.548,0.521,0.371,push,0.0,126.36
776818,2025-08-09,STL,CHC,8.5,6.94,10.0,1.56,under,1.877,0.543,0.5119,0.557,loss,-0.557,125.803
776815,2025-08-09,NYY,HOU,8.0,9.83,9.0,1.83,over,1.909,0.5365,0.5,0.673,win,0.612,126.415
776807,2025-08-09,SD,BOS,8.0,11.48,9.0,3.48,over,1.909,0.5697,0.5,2.436,win,2.214,128.629
776802,2025-08-09,SF,WSH,8.0,10.34,6.0,2.34,over,1.855,0.5652,0.5184,1.334,loss,-1.334,127.295
776791,2025-08-10,SEA,TB,8.0,5.79,9.0,2.21,under,1.87,0.5572,0.5131,1.222,loss,-1.222,126.073
776788,2025-08-10,LAD,TOR,8.5,6.21,9.0,2.29,under,1.952,0.5328,0.4869,1.064,loss,-1.064,125.009
776793,2025-08-10,SF,WSH,8.0,10.19,8.0,2.19,over,1.909,0.5451,0.5013,1.117,push,0.0,125.009
776803,2025-08-10,ATL,MIA,9.0,11.43,8.0,2.43,over,2.05,0.5093,0.4607,1.049,loss,-1.049,123.961
776800,2025-08-10,TEX,PHI,8.0,5.71,6.0,2.29,under,1.87,0.5589,0.5131,0.549,win,0.477,124.438
776783,2025-08-11,STL,COL,8.5,14.1,5.0,5.6,over,1.952,0.5894,0.4894,3.938,loss,-3.938,120.5
776786,2025-08-11,MIL,PIT,8.75,6.14,8.0,2.61,under,1.87,0.5639,0.5117,1.062,win,0.924,121.424
776777,2025-08-12,CIN,PHI,9.5,6.63,7.0,2.87,under,1.862,0.5752,0.5179,2.005,win,1.729,123.153
776775,2025-08-12,STL,COL,8.5,12.92,3.0,4.42,over,1.909,0.5883,0.5,2.995,loss,-2.995,120.158
776765,2025-08-13,CIN,PHI,8.5,7.31,8.0,1.19,under,1.87,0.5368,0.5131,0.101,win,0.088,120.245
776760,2025-08-13,NYY,MIN,8.5,10.19,5.0,1.69,over,1.87,0.5469,0.5131,0.623,loss,-0.623,119.622
776766,2025-08-13,CLE,MIA,7.5,5.83,17.0,1.67,under,2.0,0.5072,0.4737,0.344,loss,-0.344,119.279
776749,2025-08-13,SF,SD,7.5,8.98,12.0,1.48,over,1.909,0.5295,0.5,0.287,win,0.261,119.54
776752,2025-08-13,LAA,LAD,10.0,7.26,11.0,2.74,under,1.909,0.5549,0.5,1.559,loss,-1.559,117.98
776757,2025-08-13,TOR,CHC,8.5,9.77,5.0,1.27,over,1.87,0.5385,0.5131,0.185,loss,-0.185,117.795
776755,2025-08-13,MIL,PIT,7.5,6.04,17.0,1.46,under,1.909,0.5293,0.5,0.27,loss,-0.27,117.525
776756,2025-08-13,NYM,ATL,9.0,6.86,17.0,2.14,under,1.84,0.5679,0.5251,1.262,loss,-1.262,116.263
776743,2025-08-14,WSH,PHI,8.5,9.96,5.0,1.46,over,1.952,0.516,0.4869,0.183,loss,-0.183,116.081
776738,2025-08-15,CLE,ATL,8.5,5.74,2.0,2.76,under,1.952,0.5422,0.4869,1.426,win,1.358,117.439
776735,2025-08-15,TOR,TEX,7.5,8.65,11.0,1.15,over,1.917,0.5217,0.4987,0.008,win,0.007,117.446
776725,2025-08-16,WSH,PHI,3.5,8.52,2.0,5.02,over,2.1,0.5308,0.4308,2.45,loss,-2.45,114.996
776726,2025-08-16,NYM,SEA,4.5,11.31,4.0,6.81,over,1.901,0.5727,0.4727,2.263,loss,-2.263,112.733
776719,2025-08-16,CHC,PIT,9.5,5.74,4.0,3.76,under,1.87,0.5869,0.5117,0.287,win,0.25,112.983
776710,2025-08-17,TOR,TEX,8.0,10.5,14.0,2.5,over,1.833,0.5763,0.5263,1.535,win,1.279,114.262
776709,2025-08-17,CIN,MIL,9.25,11.1,5.0,1.85,over,1.919,0.5351,0.4981,0.666,loss,-0.666,113.596
776706,2025-08-17,CLE,ATL,9.0,6.32,9.0,2.68,under,1.909,0.5536,0.5,1.423,push,0.0,113.596
776697,2025-08-17,LAD,SD,8.5,10.34,9.0,1.84,over,2.0,0.5104,0.4737,0.474,win,0.474,114.069
776698,2025-08-17,STL,NYY,9.5,7.14,12.0,2.36,under,1.83,0.574,0.5268,0.902,loss,-0.902,113.168
776694,2025-08-18,PIT,TOR,7.0,5.47,7.0,1.53,under,1.855,0.5462,0.5155,0.344,push,0.0,113.168
776690,2025-08-18,KC,TEX,9.0,6.61,7.0,2.39,under,1.926,0.5426,0.4948,1.102,win,1.02,114.188
776695,2025-08-18,BOS,BAL,8.0,9.55,9.0,1.55,over,1.897,0.5369,0.506,0.47,win,0.422,114.61
776689,2025-08-18,PHI,SEA,7.5,12.29,19.0,4.79,over,1.909,0.5958,0.5,3.084,win,2.804,117.414
776691,2025-08-19,CHC,MIL,9.0,10.63,10.0,1.63,over,2.0,0.5062,0.4737,0.292,win,0.292,117.706
776685,2025-08-19,DET,HOU,7.0,9.3,1.0,2.3,over,1.98,0.5232,0.4773,0.87,loss,-0.87,116.836
776678,2025-08-19,WSH,NYM,9.0,7.26,9.0,1.74,under,1.909,0.5347,0.5,0.535,push,0.0,116.836
776680,2025-08-19,PHI,SEA,8.0,9.78,10.0,1.78,over,1.855,0.5496,0.5141,0.53,win,0.453,117.288
776675,2025-08-19,KC,TEX,8.5,6.5,7.0,2.0,under,1.93,0.5347,0.4947,0.811,win,0.754,118.043
776676,2025-08-19,CHC,MIL,9.0,10.42,5.0,1.42,over,2.0,0.5021,0.4737,0.098,loss,-0.098,117.945
776677,2025-08-19,TB,NYY,8.0,5.81,16.0,2.19,under,1.909,0.5438,0.5,0.992,loss,-0.992,116.953
776671,2025-08-19,COL,LAD,11.25,9.17,15.0,2.08,under,1.909,0.5416,0.5,0.872,loss,-0.872,116.081
776673,2025-08-20,DET,HOU,8.0,6.48,9.0,1.52,under,1.952,0.5174,0.4869,0.247,loss,-0.247,115.833
776670,2025-08-20,MIA,STL,8.5,6.2,8.0,2.3,under,1.87,0.5591,0.5131,1.208,win,1.05,116.884
776663,2025-08-20,CHC,MIL,6.5,10.64,7.0,4.14,over,1.827,0.6103,0.5274,3.242,win,2.68,119.564
776656,2025-08-20,SD,SF,8.0,10.42,9.0,2.42,over,1.952,0.5354,0.4869,0.302,win,0.288,119.852
776650,2025-08-21,WSH,NYM,9.0,6.87,12.0,2.13,under,1.87,0.5426,0.5,0.398,loss,-0.398,119.454
776654,2025-08-21,NYY,BOS,8.5,13.44,9.0,4.94,over,1.87,0.6119,0.5131,3.957,win,3.441,122.895
776651,2025-08-21,CHC,MIL,7.0,9.28,5.0,2.28,over,1.952,0.5324,0.4869,0.645,loss,-0.645,122.249
776633,2025-08-22,TB,STL,9.0,6.33,16.0,2.67,under,1.844,0.5764,0.5231,1.821,loss,-1.821,120.428
776648,2025-08-22,PHI,WSH,9.5,11.65,9.0,2.15,over,2.0,0.5167,0.4737,0.805,loss,-0.805,119.623
776647,2025-08-22,NYY,BOS,8.5,11.93,1.0,3.43,over,1.87,0.5831,0.5145,2.374,loss,-2.374,117.249
776621,2025-08-23,MIL,SF,7.5,9.38,8.0,1.88,over,1.98,0.5166,0.479,0.552,win,0.542,117.791
776630,2025-08-23,MIA,TOR,5.5,7.39,13.0,1.89,over,1.694,0.6021,0.5644,0.686,win,0.476,118.267
776623,2025-08-23,TEX,CLE,8.0,9.51,10.0,1.51,over,1.952,0.517,0.4869,0.235,win,0.224,118.491
776632,2025-08-23,PIT,COL,8.0,5.52,6.0,2.48,under,1.952,0.5365,0.4869,1.182,win,1.126,119.616
776626,2025-08-23,ATL,NYM,9.0,7.68,11.0,1.32,under,1.99,0.504,0.4775,0.071,loss,-0.071,119.545
776614,2025-08-24,MIA,TOR,8.0,5.62,8.0,2.38,under,1.87,0.5607,0.5131,1.325,push,0.0,119.545
776615,2025-08-24,DET,KC,8.5,11.15,18.0,2.65,over,1.952,0.5399,0.4869,1.359,win,1.294,120.839
776605,2025-08-24,LAA,CHC,10.0,5.39,7.0,4.61,under,1.87,0.6054,0.5131,2.316,win,2.014,122.853
776604,2025-08-25,BAL,BOS,9.0,10.15,7.0,1.15,over,1.87,0.536,0.5131,0.059,loss,-0.059,122.795
776596,2025-08-25,TOR,MIN,8.0,9.79,14.0,1.79,over,1.939,0.526,0.4902,0.52,win,0.488,123.283
776589,2025-08-25,STL,PIT,8.0,9.26,13.0,1.26,over,1.847,0.542,0.5168,0.039,win,0.033,123.315
776598,2025-08-25,NYM,PHI,7.5,5.42,16.0,2.08,under,1.98,0.5206,0.479,0.78,loss,-0.78,122.535
776578,2025-08-26,STL,PIT,8.0,10.74,11.0,2.74,over,1.909,0.5548,0.5,1.596,win,1.451,123.986
776588,2025-08-26,NYY,WSH,9.0,10.98,6.0,1.98,over,1.807,0.5777,0.5382,1.342,loss,-1.342,122.644
776585,2025-08-26,NYM,PHI,8.5,6.49,11.0,2.01,under,1.862,0.5546,0.5143,0.928,loss,-0.928,121.716
776584,2025-08-26,CLE,TB,7.5,10.35,3.0,2.85,over,1.87,0.57,0.5131,1.133,loss,-1.133,120.583
776568,2025-08-27,STL,PIT,7.5,9.37,3.0,1.87,over,2.0,0.511,0.4737,0.532,loss,-0.532,120.05
776566,2025-08-27,NYM,PHI,8.5,6.06,6.0,2.44,under,1.952,0.5356,0.4869,1.154,win,1.099,121.149
776562,2025-08-27,LAD,CIN,9.0,12.13,6.0,3.13,over,1.943,0.5522,0.4895,1.876,loss,-1.876,119.273
776554,2025-08-28,STL,PIT,8.5,10.92,5.0,2.42,over,1.87,0.5614,0.5131,1.362,loss,-1.362,117.911
