date,matchup,pick,tier,pick_prob,bucket,pick_team_xwoba,opp_xwoba,gap_pickside,won_scoreboard,home_score,away_score
2026-05-06,MIN @ WSH,MIN,GOLD,0.5133,bad_read,0.1969,0.3971,-0.2002,False,15,2
2026-05-06,TEX @ NYY,NYY,PLATINUM,0.6107,bad_beat,0.3456,0.3029,0.0427,False,1,6
2026-05-06,CIN @ CHC,CHC,GOLD,0.6456,null_zone,0.3514,0.3608,-0.0094,False,6,6
2026-05-06,CLE @ KC,KC,SKIP,0.5018,null_zone,0.2377,0.2622,-0.0245,False,1,3
2026-05-06,NYM @ COL,COL,SKIP,0.6495,bad_read,0.3255,0.4392,-0.1137,False,5,10
2026-05-07,TEX @ NYY,NYY,PLATINUM,0.6563,win,0.3432,0.3997,-0.0565,True,9,2
2026-05-07,MIN @ WSH,WSH,GOLD,0.6286,win,0.4179,0.3246,0.0933,True,7,5
2026-05-07,CLE @ KC,CLE,SKIP,0.509,win,0.3866,0.3605,0.0261,True,5,8
2026-05-07,CIN @ CHC,CHC,GOLD,0.5778,win,0.3753,0.4195,-0.0442,True,8,3
2026-05-07,NYM @ COL,COL,SKIP,0.6598,win,0.3236,0.2313,0.0923,True,6,2
2026-05-07,OAK @ PHI,PHI,SKIP,0.5644,bad_read,0.2962,0.4558,-0.1596,False,1,12
2026-05-07,BAL @ MIA,BAL,SKIP,0.5253,bad_beat,0.3628,0.2904,0.0724,False,3,3
2026-05-07,TB @ BOS,TB,GOLD,0.5493,win,0.3334,0.1956,0.1378,True,4,8
2026-05-07,STL @ SD,STL,SKIP,0.5123,win,0.265,0.2449,0.0201,True,1,2
2026-05-08,HOU @ CIN,HOU,SKIP,0.7939,win,0.4596,0.27,0.1896,True,0,10
2026-05-08,COL @ PHI,PHI,GOLD,0.518,bad_beat,0.3183,0.2723,0.046,False,7,9
2026-05-08,OAK @ BAL,BAL,SKIP,0.6293,bad_beat,0.2407,0.2136,0.0271,False,3,4
2026-05-08,LAA @ TOR,TOR,SKIP,0.6743,win,0.2632,0.2341,0.0291,True,2,0
2026-05-08,TB @ BOS,TB,GOLD,0.5493,bad_read,0.2026,0.2604,-0.0578,False,2,0
2026-05-08,WSH @ MIA,MIA,SKIP,0.598,bad_read,0.2335,0.3478,-0.1143,False,2,3
2026-05-08,MIN @ CLE,CLE,SKIP,0.5621,win,0.3011,0.3559,-0.0548,True,6,4
2026-05-08,DET @ KC,DET,GOLD,0.5133,null_zone,0.3408,0.3572,-0.0164,False,3,3
2026-05-08,SEA @ CHW,CHW,SKIP,0.7415,bad_read,0.3975,0.4341,-0.0366,False,8,12
2026-05-08,NYY @ MIL,NYY,GOLD,0.5313,bad_read,0.1756,0.2956,-0.12,False,6,0
2026-05-08,CHC @ TEX,CHC,GOLD,0.5313,win,0.3982,0.3021,0.0961,True,1,7
2026-05-08,STL @ SD,SD,SKIP,0.5022,null_zone,0.226,0.2482,-0.0222,False,0,6
2026-05-08,ATL @ LAD,LAD,SKIP,0.6413,win,0.3139,0.2654,0.0485,True,3,1
2026-05-09,LAA @ TOR,TOR,SKIP,0.6743,win,0.4592,0.3356,0.1236,True,14,1
2026-05-09,OAK @ BAL,OAK,SKIP,0.5703,win,0.2715,0.2692,0.0023,True,2,6
2026-05-09,HOU @ CIN,HOU,SKIP,0.5253,null_zone,0.3232,0.3215,0.0017,False,3,1
2026-05-09,WSH @ MIA,MIA,SKIP,0.5501,win,0.3645,0.3836,-0.0191,True,8,7
2026-05-09,COL @ PHI,COL,GOLD,0.5088,bad_read,0.266,0.3502,-0.0842,False,9,3
2026-05-09,MIN @ CLE,CLE,SKIP,0.5719,bad_beat,0.3322,0.2071,0.1251,False,1,2
2026-05-09,CHC @ TEX,CHC,GOLD,0.509,bad_read,0.2554,0.359,-0.1036,False,6,0
2026-05-09,DET @ KC,DET,GOLD,0.5133,bad_read,0.164,0.3048,-0.1408,False,5,1
2026-05-09,SEA @ CHW,CHW,SKIP,0.5684,win,0.3978,0.2169,0.1809,True,6,1
2026-05-09,NYY @ MIL,NYY,GOLD,0.542,null_zone,0.2623,0.2405,0.0218,False,3,3
2026-05-09,STL @ SD,STL,SKIP,0.554,bad_read,0.3209,0.4246,-0.1037,False,4,2
2026-05-09,PIT @ SF,PIT,GOLD,0.6908,win,0.3167,0.3014,0.0153,True,3,13
2026-05-09,ATL @ LAD,LAD,SKIP,0.5506,null_zone,0.2775,0.2983,-0.0208,False,2,7
2026-05-10,WSH @ MIA,WSH,SKIP,0.5195,bad_read,0.278,0.3873,-0.1093,False,5,2
2026-05-10,OAK @ BAL,OAK,SKIP,0.5323,bad_read,0.2565,0.3006,-0.0441,False,2,1
2026-05-10,TB @ BOS,TB,GOLD,0.5433,win,0.2674,0.276,-0.0086,True,1,4
2026-05-10,COL @ PHI,PHI,PLATINUM,0.5151,win,0.3713,0.1501,0.2212,True,6,0
2026-05-10,LAA @ TOR,TOR,SKIP,0.6157,bad_read,0.2521,0.3675,-0.1154,False,1,6
2026-05-10,HOU @ CIN,HOU,SKIP,0.5164,bad_read,0.1619,0.4056,-0.2437,False,5,0
2026-05-10,MIN @ CLE,CLE,GOLD,0.5695,bad_read,0.2969,0.3411,-0.0442,False,4,5
2026-05-10,SEA @ CHW,CHW,GOLD,0.6119,win,0.3188,0.2668,0.052,True,2,1
2026-05-10,CHC @ TEX,TEX,SKIP,0.5758,win,0.3678,0.1827,0.1851,True,3,0
2026-05-10,PIT @ SF,PIT,GOLD,0.5313,null_zone,0.2994,0.2914,0.008,False,6,6
2026-05-10,STL @ SD,STL,SKIP,0.5215,bad_read,0.3118,0.3477,-0.0359,False,2,2
2026-05-10,ATL @ LAD,LAD,GOLD,0.6443,bad_beat,0.3399,0.3084,0.0315,False,2,7
2026-05-11,LAA @ CLE,CLE,SKIP,0.6593,win,0.4053,0.3029,0.1024,True,7,2
2026-05-11,NYY @ BAL,NYY,GOLD,0.5441,bad_read,0.2101,0.2361,-0.026,False,3,2
2026-05-11,TB @ TOR,TB,GOLD,0.5313,win,0.301,0.2536,0.0474,True,5,8
2026-05-11,SEA @ HOU,HOU,GOLD,0.5571,null_zone,0.2776,0.2924,-0.0148,False,1,3
2026-05-11,SF @ LAD,LAD,PLATINUM,0.9447,bad_read,0.2785,0.3977,-0.1192,False,3,9
2026-05-12,LAA @ CLE,CLE,SKIP,0.5844,win,0.2906,0.2783,0.0123,True,3,2
2026-05-12,NYY @ BAL,NYY,GOLD,0.5253,win,0.3469,0.1795,0.1674,True,2,6
2026-05-12,WSH @ CIN,WSH,GOLD,0.5221,win,0.4585,0.3157,0.1428,True,4,10
2026-05-12,COL @ PIT,COL,SKIP,0.5254,bad_read,0.22,0.3676,-0.1476,False,3,1
