pitcher,n,stuff_plus,location_plus,name
675911,2110,98.96502,99.79272,Spencer Strider
657514,833,98.94129,99.25507,Brennan Bernardino
607625,2347,98.940636,99.896065,Seth Lugo
665871,567,98.93356,99.798515,Javier Assad
500779,2174,98.92821,100.543655,Jose Quintana
678368,1391,98.923584,100.36209,Valente Bellozo
670955,1196,98.92018,100.15615,Edwin Uceta
665152,2692,98.87132,100.69731,Dean Kremer
615698,2001,98.86455,99.990715,Cal Quantrill
607067,2548,98.86224,100.768005,Colin Rea
570632,957,98.81811,100.00991,José Ureña
642547,3104,98.76654,99.95457,Freddy Peralta
669084,588,98.74217,99.25279,DL Hall
687134,1047,98.69882,99.83506,Bradley Blalock
676282,1692,98.651764,99.21944,Joey Cantillo
664299,617,98.63495,99.11754,Cristian Javier
641778,1698,98.62888,100.44938,Eric Lauer
664192,632,98.6186,100.378746,Joey Lucchesi
608566,2207,98.52061,99.42417,Germán Márquez
676428,1050,98.4746,99.05303,Brant Hurter
669467,2720,98.467735,99.701485,Andre Pallante
622503,534,98.44135,100.50672,Nabil Crismatt
623167,673,98.436226,99.59883,Chris Flexen
434378,2608,98.361534,100.073746,Justin Verlander
669920,1252,98.35376,100.01626,Jason Alexander
621244,2667,98.28411,99.99381,José Berríos
641482,674,98.23203,99.49351,Nestor Cortes
656222,929,98.19837,99.25154,Jalen Beeks
594902,718,98.14052,100.21888,Ben Lively
622608,2373,98.12702,100.32654,Antonio Senzatela
676664,2416,98.07109,100.30875,JP Sears
656457,839,97.92913,99.72121,Tyler Gilbert
663372,597,97.916885,100.02371,Ryan Feltner
571578,2585,97.880424,100.59571,Patrick Corbin
605177,642,97.868034,100.2925,Andrew Chafin
527048,961,97.78013,99.553696,Martín Pérez
671106,2632,97.72176,99.860146,Logan Allen
683409,1056,97.435455,99.50668,Angel Chivilli
623474,1306,97.36724,99.53593,Jimmy Herget
683627,608,97.31932,100.61705,Anthony Molina
663455,529,97.13377,98.68877,Konnor Pilkington
663465,1052,96.96539,100.23353,Kolby Allard
596295,999,96.663765,100.298065,Austin Gomber
