game_pk,game_date,home_team,away_team,home_xwoba,away_xwoba,home_score,away_score,n_pa_home,n_pa_away,source_pulled_at
824036,2026-05-06,LAA,CHW,0.421,0.2753,8,2,37,36,2026-05-28T05:25:56+00:00
824118,2026-05-06,KC,CLE,0.2377,0.2622,1,3,34,37,2026-05-28T05:25:56+00:00
824198,2026-05-06,HOU,LAD,0.2965,0.3456,2,12,31,44,2026-05-28T05:25:56+00:00
824282,2026-05-06,DET,BOS,0.2891,0.2814,0,4,35,39,2026-05-28T05:25:56+00:00
824361,2026-05-06,COL,NYM,0.3255,0.4392,5,10,43,44,2026-05-28T05:25:56+00:00
824683,2026-05-06,CHC,CIN,0.3514,0.3608,6,6,39,42,2026-05-28T05:25:56+00:00
825091,2026-05-06,AZ,PIT,0.1559,0.3116,0,1,30,36,2026-05-28T05:25:56+00:00
822741,2026-05-07,WSH,MIN,0.4179,0.3246,7,5,34,39,2026-05-28T05:25:56+00:00
823306,2026-05-07,SD,STL,0.2449,0.265,1,2,30,35,2026-05-28T05:25:56+00:00
823467,2026-05-07,PHI,OAK,0.2962,0.4558,1,12,32,44,2026-05-28T05:25:56+00:00
823551,2026-05-07,NYY,TEX,0.3432,0.3997,9,2,43,39,2026-05-28T05:25:56+00:00
823870,2026-05-07,MIA,BAL,0.2904,0.3628,3,3,36,37,2026-05-28T05:25:56+00:00
824117,2026-05-07,KC,CLE,0.3605,0.3866,5,8,42,45,2026-05-28T05:25:56+00:00
824362,2026-05-07,COL,NYM,0.3236,0.2313,6,2,37,35,2026-05-28T05:25:56+00:00
824681,2026-05-07,CHC,CIN,0.3753,0.4195,8,3,37,45,2026-05-28T05:25:56+00:00
824767,2026-05-07,BOS,TB,0.1956,0.3334,4,8,34,41,2026-05-28T05:25:56+00:00
825090,2026-05-07,AZ,PIT,0.3366,0.3538,2,4,34,38,2026-05-28T05:25:56+00:00
822822,2026-05-08,TOR,LAA,0.2632,0.2341,2,0,33,32,2026-05-28T05:25:56+00:00
822904,2026-05-08,TEX,CHC,0.3021,0.3982,1,7,33,42,2026-05-28T05:25:56+00:00
823225,2026-05-08,SF,PIT,0.3793,0.3648,5,2,35,36,2026-05-28T05:25:56+00:00
823303,2026-05-08,SD,STL,0.226,0.2482,0,6,30,40,2026-05-28T05:25:56+00:00
823466,2026-05-08,PHI,COL,0.3183,0.2723,7,9,47,48,2026-05-28T05:25:56+00:00
823794,2026-05-08,MIL,NYY,0.2956,0.1756,6,0,34,32,2026-05-28T05:25:56+00:00
823871,2026-05-08,MIA,WSH,0.2335,0.3478,2,3,35,37,2026-05-28T05:25:56+00:00
823957,2026-05-08,LAD,ATL,0.3139,0.2654,3,1,30,38,2026-05-28T05:25:56+00:00
824116,2026-05-08,KC,DET,0.3572,0.3408,3,3,36,39,2026-05-28T05:25:56+00:00
824443,2026-05-08,CLE,MIN,0.3011,0.3559,6,4,38,40,2026-05-28T05:25:56+00:00
824522,2026-05-08,CIN,HOU,0.27,0.4596,0,10,32,38,2026-05-28T05:25:56+00:00
824607,2026-05-08,CHW,SEA,0.3975,0.4341,8,12,40,44,2026-05-28T05:25:56+00:00
824768,2026-05-08,BOS,TB,0.2604,0.2026,2,0,33,32,2026-05-28T05:25:56+00:00
824846,2026-05-08,BAL,OAK,0.2407,0.2136,3,4,35,38,2026-05-28T05:25:56+00:00
825088,2026-05-08,AZ,NYM,0.2398,0.2261,1,3,38,36,2026-05-28T05:25:56+00:00
822820,2026-05-09,TOR,LAA,0.4592,0.3356,14,1,49,37,2026-05-28T05:26:44+00:00
822905,2026-05-09,TEX,CHC,0.359,0.2554,6,0,34,38,2026-05-28T05:26:44+00:00
823224,2026-05-09,SF,PIT,0.3014,0.3167,3,13,37,51,2026-05-28T05:26:44+00:00
823304,2026-05-09,SD,STL,0.4246,0.3209,4,2,32,37,2026-05-28T05:26:44+00:00
823468,2026-05-09,PHI,COL,0.3502,0.266,9,3,38,36,2026-05-28T05:26:44+00:00
823792,2026-05-09,MIL,NYY,0.2405,0.2623,3,3,39,40,2026-05-28T05:26:44+00:00
823869,2026-05-09,MIA,WSH,0.3645,0.3836,8,7,38,40,2026-05-28T05:26:44+00:00
823955,2026-05-09,LAD,ATL,0.2775,0.2983,2,7,35,43,2026-05-28T05:26:44+00:00
824115,2026-05-09,KC,DET,0.3048,0.164,5,1,30,35,2026-05-28T05:26:44+00:00
824444,2026-05-09,CLE,MIN,0.3322,0.2071,1,2,42,39,2026-05-28T05:26:44+00:00
824523,2026-05-09,CIN,HOU,0.3215,0.3232,3,1,29,31,2026-05-28T05:26:44+00:00
824606,2026-05-09,CHW,SEA,0.3978,0.2169,6,1,35,34,2026-05-28T05:26:44+00:00
824847,2026-05-09,BAL,OAK,0.2692,0.2715,2,6,38,42,2026-05-28T05:26:44+00:00
825089,2026-05-09,AZ,NYM,0.3153,0.3663,2,1,34,31,2026-05-28T05:26:44+00:00
822819,2026-05-10,TOR,LAA,0.2521,0.3675,1,6,33,35,2026-05-28T05:26:44+00:00
822902,2026-05-10,TEX,CHC,0.3678,0.1827,3,0,32,30,2026-05-28T05:26:44+00:00
823221,2026-05-10,SF,PIT,0.2914,0.2994,6,6,51,51,2026-05-28T05:26:44+00:00
823305,2026-05-10,SD,STL,0.3477,0.3118,2,2,38,34,2026-05-28T05:26:44+00:00
823463,2026-05-10,PHI,COL,0.3713,0.1501,6,0,35,33,2026-05-28T05:26:44+00:00
823793,2026-05-10,MIL,NYY,0.2993,0.359,3,3,37,36,2026-05-28T05:26:44+00:00
823868,2026-05-10,MIA,WSH,0.3873,0.278,5,2,36,34,2026-05-28T05:26:44+00:00
823954,2026-05-10,LAD,ATL,0.3399,0.3084,2,7,35,37,2026-05-28T05:26:44+00:00
824113,2026-05-10,KC,DET,0.2612,0.38,3,6,36,43,2026-05-28T05:26:44+00:00
824440,2026-05-10,CLE,MIN,0.2969,0.3411,4,5,41,36,2026-05-28T05:26:44+00:00
824520,2026-05-10,CIN,HOU,0.4056,0.1619,5,0,37,29,2026-05-28T05:26:44+00:00
824605,2026-05-10,CHW,SEA,0.3188,0.2668,2,1,29,35,2026-05-28T05:26:44+00:00
824765,2026-05-10,BOS,TB,0.276,0.2674,1,4,37,33,2026-05-28T05:26:44+00:00
824845,2026-05-10,BAL,OAK,0.3006,0.2565,2,1,33,35,2026-05-28T05:26:44+00:00
825085,2026-05-10,AZ,NYM,0.287,0.332,5,1,35,34,2026-05-28T05:26:44+00:00
822818,2026-05-11,TOR,TB,0.2536,0.301,5,8,35,40,2026-05-28T05:26:44+00:00
822901,2026-05-11,TEX,AZ,0.2564,0.2576,0,1,31,34,2026-05-28T05:26:44+00:00
823953,2026-05-11,LAD,SF,0.2785,0.3977,3,9,38,46,2026-05-28T05:26:44+00:00
824199,2026-05-11,HOU,SEA,0.2776,0.2924,1,3,38,34,2026-05-28T05:26:44+00:00
824441,2026-05-11,CLE,LAA,0.4053,0.3029,7,2,41,40,2026-05-28T05:26:44+00:00
824844,2026-05-11,BAL,NYY,0.2361,0.2101,3,2,30,34,2026-05-28T05:26:44+00:00
822817,2026-05-12,TOR,TB,0.23,0.3631,6,7,41,48,2026-05-28T05:26:44+00:00
822903,2026-05-12,TEX,AZ,0.3062,0.3533,7,4,38,35,2026-05-28T05:26:44+00:00
823385,2026-05-12,PIT,COL,0.3676,0.22,3,1,35,31,2026-05-28T05:26:44+00:00
823632,2026-05-12,NYM,DET,0.3508,0.3002,10,2,45,39,2026-05-28T05:26:44+00:00
823712,2026-05-12,MIN,MIA,0.3383,0.114,3,0,35,29,2026-05-28T05:26:44+00:00
823790,2026-05-12,MIL,SD,0.2516,0.2759,6,4,35,37,2026-05-28T05:26:44+00:00
823951,2026-05-12,LAD,SF,0.3243,0.2598,2,6,37,37,2026-05-28T05:26:44+00:00
824197,2026-05-12,HOU,SEA,0.2357,0.4963,2,10,35,45,2026-05-28T05:26:44+00:00
824442,2026-05-12,CLE,LAA,0.2906,0.2783,3,2,31,39,2026-05-28T05:26:44+00:00
824521,2026-05-12,CIN,WSH,0.3157,0.4585,4,10,39,43,2026-05-28T05:26:44+00:00
824604,2026-05-12,CHW,KC,0.3519,0.3719,6,5,36,40,2026-05-28T05:26:44+00:00
824764,2026-05-12,BOS,PHI,0.3991,0.3053,1,2,33,34,2026-05-28T05:26:44+00:00
824843,2026-05-12,BAL,NYY,0.1795,0.3469,2,6,36,39,2026-05-28T05:26:44+00:00
824927,2026-05-12,ATL,CHC,0.4396,0.3177,5,2,35,33,2026-05-28T05:26:44+00:00
825011,2026-05-12,OAK,STL,0.3386,0.302,4,6,35,42,2026-05-28T05:26:44+00:00
822815,2026-05-13,TOR,TB,0.4097,0.2681,1,3,40,42,2026-05-28T05:26:44+00:00
822900,2026-05-13,TEX,AZ,0.2432,0.3504,5,5,36,45,2026-05-28T05:26:44+00:00
823386,2026-05-13,PIT,COL,0.2901,0.4184,4,10,35,38,2026-05-28T05:26:44+00:00
823631,2026-05-13,NYM,DET,0.2709,0.2669,2,2,37,42,2026-05-28T05:26:44+00:00
823710,2026-05-13,MIN,MIA,0.3412,0.3519,5,9,39,43,2026-05-28T05:26:44+00:00
823791,2026-05-13,MIL,SD,0.2431,0.2061,1,3,37,34,2026-05-28T05:26:44+00:00
823952,2026-05-13,LAD,SF,0.3758,0.2892,4,0,35,34,2026-05-28T05:26:44+00:00
824195,2026-05-13,HOU,SEA,0.2824,0.2923,3,3,42,43,2026-05-28T05:26:44+00:00
824438,2026-05-13,CLE,LAA,0.3442,0.2427,4,2,33,32,2026-05-28T05:26:44+00:00
824519,2026-05-13,CIN,WSH,0.4352,0.334,7,8,40,41,2026-05-28T05:26:44+00:00
824603,2026-05-13,CHW,KC,0.4504,0.3925,6,5,38,39,2026-05-28T05:26:44+00:00
824763,2026-05-13,BOS,PHI,0.3193,0.2894,3,1,30,32,2026-05-28T05:26:44+00:00
824841,2026-05-13,BAL,NYY,0.2942,0.2343,7,0,36,31,2026-05-28T05:26:44+00:00
824928,2026-05-13,ATL,CHC,0.3085,0.2463,4,1,29,35,2026-05-28T05:26:44+00:00
825010,2026-05-13,OAK,STL,0.3886,0.3255,6,2,37,38,2026-05-28T05:26:44+00:00
823383,2026-05-14,PIT,COL,0.2987,0.2933,7,2,38,33,2026-05-28T05:26:44+00:00
823630,2026-05-14,NYM,DET,0.5713,0.4018,9,4,38,35,2026-05-28T05:26:44+00:00
823709,2026-05-14,MIN,MIA,0.3053,0.2167,9,1,38,34,2026-05-28T05:26:44+00:00
823789,2026-05-14,MIL,SD,0.3224,0.2481,7,1,40,38,2026-05-28T05:26:44+00:00
823950,2026-05-14,LAD,SF,0.3524,0.1837,5,2,35,33,2026-05-28T05:26:44+00:00
824196,2026-05-14,HOU,SEA,0.35,0.3517,3,8,37,42,2026-05-28T05:26:44+00:00
824517,2026-05-14,CIN,WSH,0.43,0.2248,15,1,42,30,2026-05-28T05:26:44+00:00
824602,2026-05-14,CHW,KC,0.3678,0.3034,6,2,34,36,2026-05-28T05:26:44+00:00
824762,2026-05-14,BOS,PHI,0.2416,0.2512,1,3,36,39,2026-05-28T05:26:44+00:00
824926,2026-05-14,ATL,CHC,0.2175,0.3148,0,2,34,36,2026-05-28T05:26:44+00:00
825008,2026-05-14,OAK,STL,0.4328,0.3671,4,5,40,40,2026-05-28T05:26:44+00:00
822739,2026-05-15,WSH,BAL,0.3705,0.3862,3,2,32,39,2026-05-28T05:28:26+00:00
822983,2026-05-15,TB,MIA,0.2426,0.2451,7,2,35,35,2026-05-28T05:28:26+00:00
823061,2026-05-15,STL,KC,0.3745,0.2921,4,4,44,45,2026-05-28T05:28:26+00:00
823140,2026-05-15,SEA,SD,0.3332,0.3366,0,2,37,35,2026-05-28T05:28:26+00:00
823384,2026-05-15,PIT,PHI,0.368,0.4328,9,11,43,47,2026-05-28T05:28:26+00:00
